DIST,Annual,Kharif,Rabi,Summer,Autumn
Durg,1238.4594594594594,912.8459459459458,64.79009009009008,235.15405405405411,60.88198198198198
E. Garo Hills (Williamn.),2451.446846846847,1141.1702702702703,165.98288288288288,1112.5081081081082,160.51351351351354
E. Khasi Hills (Shillong),1921.3900900900906,969.7090090090088,160.5918918918919,759.354954954955,154.28648648648652
East,670.3234234234234,518.2189189189189,29.346846846846848,87.56756756756755,22.600900900900903
East District,3153.517117117117,1853.3090090090088,169.42522522522526,1086.1189189189188,161.30270270270273
East Godavari,1135.5315315315313,563.9234234234235,307.8693693693694,245.2423423423423,296.9243243243243
East Kameng (Seppa),2637.289189189189,1287.9936936936936,200.07747747747754,1069.581981981982,183.75045045045044
East Nimar (Khandwa),994.254054054054,760.3234234234233,64.63333333333334,156.6117117117117,57.50270270270271
East Siang (Along),3172.0819819819812,1508.8576576576577,216.99189189189192,1315.2828828828829,194.34054054054056
Ernakulam,3349.1774774774776,1556.2522522522524,601.8522522522521,1156.6225225225226,550.7765765765765
Erode,737.1666666666666,214.51441441441443,314.836036036036,187.64504504504504,275.94774774774777
Etah,753.8342342342343,591.6018018018017,40.74864864864866,93.04594594594595,35.16486486486486
Etawah,721.3279279279282,583.8702702702702,39.56666666666666,73.48828828828829,34.76396396396396
Fairdkot,395.4738738738739,277.8099099099099,19.392792792792793,64.9846846846847,12.038738738738738
Faizabad,1021.8036036036037,781.9837837837837,55.36666666666666,155.70000000000002,49.7063063063063
Faridabad,587.0045045045046,467.58018018018015,27.33963963963964,65.90900900900901,20.666666666666668
Farrukhabad,831.6126126126129,647.3927927927928,46.54954954954954,108.53783783783784,40.77027027027025
Fatehabad,413.990990990991,292.4936936936937,19.198198198198202,73.12612612612612,12.77027027027027
Fatehgarh Sahib,836.8324324324324,592.5126126126125,41.122522522522516,134.45855855855856,26.093693693693695
Fatehpur,859.852252252252,690.0972972972972,43.390990990990986,97.63333333333334,36.822522522522526
Firozabad,729.7693693693693,578.2864864864864,39.33423423423425,87.15585585585585,33.179279279279285
Firozpur,398.1891891891891,274.63963963963965,18.790090090090093,71.02522522522523,11.034234234234232
Gadag,596.9873873873873,284.3387387387387,144.02342342342342,164.5369369369369,135.95405405405404
Gajapati,1216.9153153153154,626.2720720720721,288.0918918918919,272.3351351351351,276.63603603603605
Gandhinagar,781.2324324324325,659.7792792792794,20.302702702702696,98.78018018018018,19.218018018018018
Gangangar,225.42882882882884,160.6135135135135,7.573873873873874,43.120720720720726,4.100900900900902
Ganjam,1253.045945945946,694.254954954955,260.9261261261261,266.1297297297297,252.2927927927928
Garhchiroli,1452.99009009009,1092.0405405405406,85.67027027027025,252.0972972972973,80.44684684684681
Garhwa,1146.3,850.7459459459457,66.0963963963964,185.54954954954954,60.836036036036035
Garhwal,1375.1369369369368,960.6243243243242,63.65045045045046,252.8774774774775,44.081981981982
Gautam Budh Nagar,667.4747747747748,525.1414414414414,29.954054054054055,80.8891891891892,23.489189189189187
Gaya,1077.9468468468467,792.0504504504505,68.77837837837838,182.18918918918916,64.8828828828829
Gazipur,964.8234234234235,742.2603603603603,52.30000000000001,142.4351351351351,48.22702702702703
Ghaziabad,761.8999999999999,586.9837837837838,34.75315315315315,99.78468468468469,26.884684684684693
Gilgit,533.0891891891893,160.97477477477477,64.92882882882883,212.8693693693694,37.58468468468468
Gilgit (Tribal Territory),616.6711711711711,149.5684684684684,80.65945945945946,269.2270270270271,46.57657657657658
Giridih,1257.5693693693693,845.944144144144,100.55405405405403,276.8882882882883,96.827027027027
Goalpara,2296.8828828828828,1045.8648648648648,156.25405405405408,1063.035135135135,150.6945945945946
Godda,1404.5081081081078,907.3963963963964,119.28378378378379,351.5801801801802,115.80090090090091
Golaghat,2008.2594594594595,967.8918918918919,155.97027027027025,825.3864864864864,143.63963963963963
Gonda,1110.0954954954955,832.5594594594593,63.72792792792792,185.14144144144146,57.12162162162162
Gondiya,1398.0531531531533,1051.1405405405405,75.1873873873874,239.38108108108113,68.66126126126126
Gopalganj,1177.2576576576578,842.3540540540542,68.7900900900901,239.8990990990991,64.24054054054054
Gorakhpur,1235.230630630631,917.7036036036035,67.77387387387387,220.6342342342342,62.76756756756756
Greater Bombay,2558.903603603604,1923.934234234234,102.2675675675676,530.5063063063063,99.91351351351355
Gulbarga,736.1171171171169,455.82702702702693,113.86306306306304,157.57297297297296,109.40900900900901
Gumla,1413.172072072072,966.2810810810812,104.17117117117117,291.0792792792793,97.73063063063061
Guna,992.9657657657657,811.3144144144144,44.29729729729729,116.86576576576577,36.73333333333333
Guntur,873.1666666666667,455.83423423423426,235.6198198198198,167.55945945945942,221.97747747747746
Gurdaspur,1071.553153153153,735.3378378378379,57.44144144144145,172.95135135135138,31.72702702702703
