,District_Name,Year,Kharif,Rabi,Autumn,Summer,Whole Year,Winter
5122,medak,1995,26.694666666666667,23.6575,25.15175,27.96025,29.38033452107364,24.609250000000003
5123,medak,1996,26.055666666666667,23.977,24.54025,27.50475,29.66127787675613,25.61475
5124,medak,1997,26.50333333333333,24.6305,25.83425,27.644250000000003,29.53518982306301,24.9615
5125,medak,1998,26.539,24.161250000000003,24.71075,28.136,30.171515818588578,25.52325
5126,medak,1999,26.014666666666667,23.628,24.58125,26.705,29.31987631821572,25.06
5127,medak,2000,26.591,24.40925,25.13325,26.497,29.316906359851316,25.0175
5128,medak,2001,26.467,24.336,25.320000000000004,27.17675,29.720575529987613,25.6165
5129,medak,2002,26.2,23.995,24.9335,27.1105,29.69621462749897,25.45075
5130,meerut,1985,27.699,18.972,22.59725,30.4145,25.1725,18.234
5131,meerut,1986,28.12766666666667,18.933,22.63625,30.4515,26.633791666666667,16.82775
5132,meerut,1987,29.685,20.09175,24.039250000000003,32.3535,28.09348263888889,18.28775
5133,meerut,1988,28.227,19.909750000000003,23.2295,30.216,27.876956886574074,18.39475
5134,meerut,1989,28.274,18.903250000000003,22.8115,30.4835,27.009413073881177,16.776249999999997
5135,meerut,1990,27.782,19.71675,22.66175,30.4865,27.06636775615676,17.50275
5136,meerut,1991,28.039,18.51525,22.513,30.904,27.062530646346392,17.22575
5137,meerut,1992,27.73333333333333,19.2805,22.69525,30.37175,26.94854422052887,17.3465
5138,meerut,1993,27.997,19.17775,22.619,30.514,27.195545351710745,17.277
5139,meerut,1994,27.923,19.37375,22.76075,30.589,27.29721211264257,18.04775
5140,meerut,1995,27.857,19.22075,23.03025,30.73525,27.293017676053548,17.0025
5141,meerut,1996,27.409,18.561,22.11625,29.62325,26.8010848063378,17.36375
5142,meerut,1997,27.406666666666663,17.5405,21.48975,30.281,26.180257067194816,16.338
5143,meerut,1998,28.348333333333333,18.9215,23.2905,30.79325,27.10885475559957,16.5095
5144,meerut,1999,28.854666666666663,19.511,23.4555,31.08825,28.10598789629996,18.1745
5145,meerut,2000,28.892,20.05925,23.80075,30.374,27.637165658024987,17.208
5146,meerut,2001,29.45533333333333,19.9265,24.04175,30.8085,27.669763804835416,17.777
5147,meerut,2002,28.294666666666668,19.72625,22.93475,31.02825,27.94989698373629,17.88875
5148,mirzapur,1985,27.03633333333333,20.4425,23.14375,29.41125,25.897250000000003,20.41475
5149,mirzapur,1986,26.558333333333334,20.0845,22.81175,28.605,27.128104166666663,19.1645
5150,mirzapur,1987,27.53633333333333,19.89375,22.8925,30.35325,27.89325868055556,19.1225
5151,mirzapur,1988,27.61766666666667,20.475,23.504,29.1775,28.0276048900463,19.8925
5152,mirzapur,1989,27.36566666666667,20.023,23.10925,28.94575,27.58896707417052,18.9555
5153,mirzapur,1990,27.025666666666663,20.33975,22.84,28.72325,27.44516392284754,19.57925
5154,mirzapur,1991,26.694666666666667,19.647,22.5985,29.10525,27.56601366023729,19.41175
5155,mirzapur,1992,27.16433333333333,20.361,23.28525,29.347,27.69008447168644,19.0625
5156,mirzapur,1993,27.815,20.500000000000004,23.11475,30.048750000000005,28.10259037264053,19.57975
5157,mirzapur,1994,27.040000000000003,20.5235,23.00175,29.10475,28.071049197720043,20.199
5158,mirzapur,1995,26.993666666666662,20.13625,23.1245,29.71275,27.820170766476668,18.9455
5159,mirzapur,1996,26.94833333333333,19.8785,22.62975,28.98525,27.597514230539726,19.4895
5160,mirzapur,1997,26.891333333333336,20.13825,22.983,29.84675,27.558376185878316,19.037750000000003
5161,mirzapur,1998,27.999,20.94825,24.0775,29.75425,27.952364682156524,18.94175
5162,mirzapur,1999,27.323666666666668,20.821,23.785500000000003,28.95975,28.02478039017971,19.58275
5163,mirzapur,2000,27.46433333333333,21.0575,23.65775,28.7795,27.88923169918164,19.136000000000003
5164,mirzapur,2001,27.96933333333333,20.880000000000003,24.063,28.770000000000003,27.709102641598463,19.308
5165,mirzapur,2002,27.16433333333333,20.5105,23.258,29.89,28.16842522013321,19.511000000000003
5166,moga,1985,29.114666666666665,18.60225,22.85925,32.083,25.320000000000004,17.298750000000002
5167,moga,1986,29.155,18.57275,22.6035,31.591500000000003,26.60825,15.98625
5168,moga,1987,30.456333333333333,19.18625,23.544500000000003,33.323750000000004,27.6869375,17.237750000000002
